Open Price,High Price,Low Price,Close Price,No.of Shares,Average,Action
728,732.4,726.25,729.05,369947,514666.25,Buy
736,736,719.6,726.75,438405,514666.25,Buy
741,742,731.5,735.8,2496241,514666.25,Sell
743.35,746.1,733.1,742.15,371377,514666.25,Buy
726.2,742,726.2,738.5,976004,514666.25,Sell
713,725.9,707.8,721.5,686131,514666.25,Sell
723.45,723.85,705.65,709.75,866618,514666.25,Sell
712.85,723.65,709.15,718.85,806656,514666.25,Sell
714,715,706.3,708.35,351044,514666.25,Buy
710,718.75,706.35,709.15,466106,514666.25,Buy
709.9,714.75,705.7,706.9,603082,514666.25,Sell
713,718.2,709.2,711.65,1177665,514666.25,Sell
723.25,725.9,711.1,712.55,418002,514666.25,Buy
735,735.5,720.75,723.25,538547,514666.25,Sell
735,736.9,727.1,732.2,517663,514666.25,Sell
742,742.55,730,732.6,227036,514666.25,Buy
737.8,742.35,735.55,741.15,237031,514666.25,Buy
735.15,742,732.1,733.95,212699,514666.25,Buy
745,746.6,733,734.7,447430,514666.25,Buy
748.15,752.05,740,741.7,394085,514666.25,Buy
735,757.8,735,754.9,297704,514666.25,Buy
733.9,736.65,728,733.35,191573,514666.25,Buy
739,739.15,727.95,733.35,200596,514666.25,Buy
730,743.45,727,740.05,288411,514666.25,Buy
738.9,739.3,723,725.15,228364,514666.25,Buy
741,747.5,736.2,740.1,168645,514666.25,Buy
741.25,746.55,733,741.75,331471,514666.25,Buy
753,753,738,739.8,171101,514666.25,Buy
750.4,759.65,743.55,754.95,201502,514666.25,Buy
763,763,741,750.4,292287,514666.25,Buy
760,768.65,757.55,761.6,275729,514666.25,Buy
764,771.15,755.1,759.85,312650,514666.25,Buy
761.1,769.5,760.65,763.35,241922,514666.25,Buy
754.25,766.15,753.8,762.65,345880,514666.25,Buy
751,760,748.55,754.25,272873,514666.25,Buy
755,762,747.85,755.65,329744,514666.25,Buy
753.8,761.8,745,756.55,374496,514666.25,Buy
728,751,727.05,749.6,1128305,514666.25,Sell
727.35,734.65,720.6,724.85,653889,514666.25,Sell
728.2,730.35,716.55,727.35,618662,514666.25,Sell
732.9,733.85,719.05,728.2,500333,514666.25,Buy
728.7,737.4,725,730.2,176637,514666.25,Buy
729.5,739,721.4,732.8,185362,514666.25,Buy
743.25,743.25,729.05,731.45,250110,514666.25,Buy
740.65,747.2,733.85,744.35,241180,514666.25,Buy
733,750.7,733,742.75,439700,514666.25,Buy
731.95,736,726.5,731,203144,514666.25,Buy
736.45,738.65,728.75,733.4,284316,514666.25,Buy
729,737.65,729,736.55,570874,514666.25,Sell
705.1,729.8,705.1,726.55,907834,514666.25,Sell
706,709,695.7,700.9,1900868,514666.25,Sell
683.9,686,672.8,683.7,965600,514666.25,Sell
681.15,682,672.65,679.75,591859,514666.25,Sell
684.9,689.8,664.55,675.85,1401279,514666.25,Sell
673.05,677.45,668.2,669.85,528366,514666.25,Sell
666.95,682.8,662.35,671.15,675873,514666.25,Sell
671.1,674,651.15,660.75,532339,514666.25,Sell
670.9,677,663.8,667.55,355183,514666.25,Buy
668,673.7,662.45,669.3,419594,514666.25,Buy
661,667,654.3,664.65,221951,514666.25,Buy
