Open Price,High Price,Low Price,Close Price,No.of Shares,Average,Action
6605,6643.7,6500,6522.25,71724,53223.2,Sell
6569,6600,6483.55,6578.8,84844,53223.2,Sell
6533.9,6621.45,6491.35,6523.45,78623,53223.2,Sell
6584,6717,6540.4,6558,87753,53223.2,Sell
6835,6853.7,6651,6680.8,67549,53223.2,Sell
6910.5,6910.5,6810,6832.55,33114,53223.2,Buy
7070,7081,6780.2,6910.35,87540,53223.2,Sell
7100,7154.35,7058.7,7092.05,33566,53223.2,Buy
7100,7147.95,7049,7086.8,35928,53223.2,Buy
7189.9,7200.2,7050.1,7086.05,36143,53223.2,Buy
7104,7229,7102,7153.95,61913,53223.2,Sell
6987,7118,6973.1,7090.4,36852,53223.2,Buy
6999,7021.9,6955,6972.85,24623,53223.2,Buy
7059,7081.5,7000.8,7030.65,33038,53223.2,Buy
7148,7148,7014.05,7058.95,33300,53223.2,Buy
6941,7155,6895.25,7114.5,54806,53223.2,Sell
6889,6950,6833.3,6933.2,43479,53223.2,Buy
