Open Price,High Price,Low Price,Close Price,No.of Shares,Average,Action
305,310.7,304.3,308.05,2323321,1493429.06,Sell
294.05,305.95,294.05,303.3,2237048,1493429.06,Sell
294.9,295,292.4,293.8,2288397,1493429.06,Sell
304.05,306.3,297,298.1,1756380,1493429.06,Sell
302.9,304.7,299.85,303.45,1777827,1493429.06,Sell
300.05,306.2,299,302.75,1955315,1493429.06,Sell
298.4,300.75,294.3,298.45,3018009,1493429.06,Sell
292.05,300.5,292.05,297.7,2317993,1493429.06,Sell
294.15,294.6,290.45,291.15,1933895,1493429.06,Sell
286.5,293.5,284.55,292.65,1853310,1493429.06,Sell
289,289.75,285.3,286.5,2114120,1493429.06,Sell
283.3,288.5,283.3,286.8,1742960,1493429.06,Sell
282,284.2,279.8,281.25,2448108,1493429.06,Sell
279.7,282,277.65,281.15,2438806,1493429.06,Sell
276.3,282.2,275.55,277.65,1332335,1493429.06,Buy
271.9,277.5,271.2,276.05,2460449,1493429.06,Sell
270,274.4,270,272.95,1005936,1493429.06,Buy
267.5,270.95,267.5,269.75,658736,1493429.06,Buy
267.3,272.5,266.5,267.25,1174418,1493429.06,Buy
268,268.2,263.25,266.3,878518,1493429.06,Buy
271,271.45,268.15,270.2,564769,1493429.06,Buy
268,271.8,267.25,270.75,667047,1493429.06,Buy
269.95,270.9,267,267.55,755803,1493429.06,Buy
265,267.7,264.5,267.05,741933,1493429.06,Buy
260.5,267.25,260.5,262.5,916974,1493429.06,Buy
263.05,265.5,258.8,259.75,985624,1493429.06,Buy
268.5,269,261.3,262.95,926380,1493429.06,Buy
268.5,268.65,264,267.05,1325699,1493429.06,Buy
276.9,278,266.75,268.25,1558443,1493429.06,Sell
280.25,282.2,274.5,275.4,739466,1493429.06,Buy
286,286,279,279.8,616744,1493429.06,Buy
285.5,287.3,282.4,285.05,704422,1493429.06,Buy
289.8,294,286.85,287.6,1799597,1493429.06,Sell
285.4,288.9,283.6,288.2,911063,1493429.06,Buy
284.05,286.75,283,284.5,677418,1493429.06,Buy
283.4,284.85,278,283.6,1106833,1493429.06,Buy
